FactID,Country,Category,Fact
FACT-0025,France,Commonality,"The baguette is a staple of daily French life, with over 6 billion sold annually in France."
FACT-0026,Germany,Quantitative,Germany is famous for its 'dual education system' where students combine vocational training with classroom study.
FACT-0027,Japan,Superlative,Mount Fuji is the highest mountain in Japan and a sacred site for pilgrimage.
FACT-0028,India,Feature,"The Saree is a traditional draped garment worn by women in India, reflecting regional styles and fabrics."
FACT-0029,Canada,Action,"In Canada, it is extremely common for people to apologize ('Sorry') even when they are not at fault."
FACT-0030,Australia,Selection,The Great Barrier Reef off the coast of Queensland is the world's largest coral reef system.
FACT-0031,France,Superlative,The Louvre in Paris is the world's most-visited museum and a monument to French history.
FACT-0032,Germany,Feature,Lederhosen are traditional leather breeches associated specifically with Bavarian culture in Germany.
FACT-0033,Japan,Action,"In Japan, it is customary to bow when greeting someone, with the angle of the bow showing the level of respect."
FACT-0034,India,Commonality,Drinking Masala Chai (spiced tea) is a universal daily social ritual across all of India.
FACT-0035,Canada,Superlative,Niagara Falls is the most famous natural landmark shared between the Canadian province of Ontario and the US.
FACT-0036,Australia,Quantitative,Voting in federal and state elections is compulsory for all adult citizens in Australia.
FACT-0037,France,Selection,The Bordeaux region is globally recognized for producing some of the world's most prestigious wines.
FACT-0038,Germany,Action,"In Germany, Sunday is a 'Ruhetag' (quiet day) where most shops are closed by law to allow for rest."
FACT-0039,Japan,Feature,"The Kimono is the traditional Japanese national garment, characterized by T-shaped, straight-lined robes."
FACT-0040,India,Selection,The Taj Mahal in Agra is a world-renowned ivory-white marble mausoleum and symbol of Indian heritage.
FACT-0041,Canada,Feature,"Poutine, a dish of fries topped with cheese curds and gravy, originated in Quebec and is a Canadian staple."
FACT-0042,Australia,Commonality,"The ""Barbie"" (barbecue) is a central social event in Australian culture, often held in public parks."
FACT-0043,France,Action,"In France, it is common to say 'Bonjour' (Good day) to the shopkeeper upon entering any small business."
FACT-0044,Germany,Superlative,"Oktoberfest in Munich is the world's largest Volkfest, attracting millions of visitors every year."
FACT-0045,Japan,Commonality,"Vending machines are ubiquitous in Japan, selling everything from hot canned coffee to umbrellas."
FACT-0046,India,Quantitative,"India has 22 officially recognized languages, with Hindi and English being the primary official languages."
FACT-0047,Canada,Selection,The Rocky Mountains in Alberta and British Columbia are a major hub for winter sports and tourism.
FACT-0048,Australia,Feature,The Didgeridoo is a unique wind instrument developed by Indigenous Australians in Northern Australia.
FACT-0049,France,Quantitative,"The legal work week in France is 35 hours, after which employees must be paid overtime."
FACT-0050,Germany,Selection,The Black Forest (Schwarzwald) is a mountainous region in SW Germany famous for cuckoo clocks.
FACT-0051,Japan,Action,"In Japan, it is customary to say 'Itadakimasu' before starting a meal to express gratitude for the food."
FACT-0052,India,Commonality,"Cricket is the most popular sport in India, often drawing massive crowds and causing city-wide shutdowns during major matches."
FACT-0053,Canada,Feature,"The Maple Leaf is the central symbol of Canada, appearing on the national flag and representing the country's vast nature."
FACT-0054,Australia,Selection,"Melbourne is widely considered the cultural and coffee capital of Australia, known for its extensive laneway cafe culture."
FACT-0055,US,Quantitative,"The US is divided into 50 states, each with its own state government and the power to regulate local laws."
FACT-0056,UK,Action,"In the UK, 'queueing' is a strictly followed social norm; jumping a line is considered extremely rude."
FACT-0057,China,Feature,The Great Wall of China is a series of fortifications that were built across the historical northern borders of ancient Chinese states.
FACT-0058,Iran,Superlative,The Treasury of National Jewels in Tehran houses one of the world's most expensive and famous jewelry collections.
FACT-0059,France,Feature,Champagne can only legally be called by that name if it is produced in the Champagne region of France.
FACT-0060,Germany,Commonality,The 'Pfand' system in Germany encourages recycling by adding a small deposit to bottled drinks that is returned when the bottle is recycled.
FACT-0061,Japan,Selection,"Kyoto is the city in Japan most famous for its well-preserved traditional temples, shrines, and geisha districts."
FACT-0062,India,Action,"In India, many people remove their shoes before entering a temple or someone's home as a sign of purity and respect."
FACT-0063,Canada,Quantitative,"Canada has two official languages: English and French, with the majority of French speakers residing in Quebec."
FACT-0064,Australia,Superlative,"The Sydney Opera House is the most recognizable landmark in Australia, famous for its unique expressionist architecture."
FACT-0065,US,Selection,"Silicon Valley in California is the global center for high technology, innovation, and social media."
FACT-0066,UK,Commonality,"Afternoon tea, typically served with scones, clotted cream, and jam, is a quintessential British social tradition."
FACT-0067,China,Quantitative,"The standard retirement age in China is currently 60 for men and 50 or 55 for women, depending on the job type."
FACT-0068,Iran,Action,"In Iran, the 'Taarof' system is a complex etiquette of politeness where people may refuse an offer multiple times before accepting."
FACT-0069,France,Selection,"The French Riviera, or Côte d'Azur, is a Mediterranean coastline famous for the Cannes Film Festival and luxury resorts."
FACT-0070,Germany,Feature,"The Autobahn is the federal highway system in Germany, famous for having no federally mandated speed limit on certain sections."
FACT-0071,Japan,Superlative,"The Shinkansen (Bullet Train) is Japan's high-speed rail network, famous for its incredible punctuality and safety record."
FACT-0072,India,Feature,"The Lotus Flower is the national flower of India, symbolizing spirituality, fruitfulness, and illumination."
FACT-0073,Canada,Action,"In Canada, it is a common winter tradition to go 'skating on the canal,' particularly on the Rideau Canal in Ottawa."
FACT-0074,Australia,Feature,The Kangaroo is the national animal of Australia and appears on the country’s coat of arms alongside the Emu.
FACT-0075,US,Superlative,"The Super Bowl is the most-watched annual sporting event in the US, famous for its high-budget commercials and halftime shows."
FACT-0076,UK,Feature,The Big Ben is the nickname for the Great Bell of the striking clock at the north end of the Palace of Westminster in London.
FACT-0077,China,Commonality,Tai Chi is a common morning exercise practiced by people of all ages in public parks across China.
FACT-0078,Iran,Feature,"Persian Carpets are world-renowned for their intricate designs, high knot density, and use of natural dyes."
FACT-0079,France,Action,"In France, dinner is typically eaten later than in the US, often starting around 8:00 PM."
FACT-0080,Germany,Quantitative,"The legal drinking age for beer and wine in Germany is 16, while for spirits it is 18."
FACT-0081,Japan,Commonality,"Convenience stores in Japan, known as 'Konbini,' are open 24/7 and offer high-quality fresh meals and banking services."
FACT-0082,India,Superlative,The Ganges (Ganga) is considered the holiest river in India and is central to Hindu religious purification rituals.
FACT-0083,Canada,Selection,The Calgary Stampede is a massive annual rodeo and festival in Alberta that celebrates Canada's western heritage.
FACT-0084,Australia,Action,"In Australia, it is common to shorten words as a sign of friendliness, such as 'Arvo' for afternoon or 'Brekkie' for breakfast."
FACT-0085,US,Commonality,High school American Football games on Friday nights are a major cultural staple in small towns across the US.
FACT-0086,UK,Selection,The Cotswolds is a region in central England known for its rolling hills and quintessential honey-colored stone villages.
FACT-0087,China,Superlative,The Giant Panda is considered a national treasure in China and is a global symbol of wildlife conservation.
FACT-0088,Iran,Quantitative,The Iranian calendar is a solar calendar beginning on the spring equinox (Nowruz).
FACT-0089,France,Feature,The Eiffel Tower was originally intended to be a temporary structure for the 1889 World's Fair.
FACT-0090,Germany,Action,"In Germany, it is traditional for children to receive a 'Schultüte' (a large cone filled with sweets) on their first day of school."
FACT-0091,Japan,Feature,"The Sakura (Cherry Blossom) is the unofficial national flower of Japan, celebrated annually with 'Hanami' (flower viewing) parties."
FACT-0092,India,Selection,"Bollywood, based in Mumbai, is the largest film industry in India and produces the highest number of films globally."
FACT-0093,Canada,Commonality,"Maple syrup production is a major cultural industry in Canada, particularly in the province of Quebec."
FACT-0094,Australia,Quantitative,Australia is the only country in the world that is also an entire continent.
FACT-0095,US,Action,"On the Fourth of July, Americans celebrate Independence Day with fireworks, parades, and backyard barbecues."
FACT-0096,UK,Superlative,The British Museum in London was the first public national museum in the world.
FACT-0097,China,Selection,The Silk Road was an ancient network of trade routes that connected China to the Mediterranean for centuries.
FACT-0098,Iran,Commonality,"Drinking black tea (Chai) is a constant social activity in Iran, usually served with a sugar cube held between the teeth."
FACT-0099,France,Quantitative,France is the most visited country in the world by international tourists.
FACT-0100,Germany,Superlative,The Brandenburg Gate in Berlin is a 18th-century neoclassical monument and a symbol of German reunification.
FACT-0101,US,Feature,The Statue of Liberty was a gift from France to the US and stands as a symbol of freedom and democracy.
FACT-0102,UK,Action,"In the UK, it is traditional to eat Fish and Chips on Fridays, a custom with roots in religious and working-class history."
FACT-0103,China,Commonality,The use of chopsticks for eating originated in ancient China and has spread to many other Asian cultures.
FACT-0104,Iran,Selection,Isfahan is often called 'Nesf-e Jahan' (Half of the World) due to its stunning Islamic architecture and historic bridges.
FACT-0105,France,Commonality,The 'Apéro' is a social ritual in France where people meet for drinks and light snacks before dinner.
FACT-0106,Germany,Feature,"The Christmas Market (Weihnachtsmarkt) is a beloved German tradition featuring wooden stalls, mulled wine, and crafts."
FACT-0107,Japan,Action,"In Japan, it is considered polite to slurps noodles, as it signifies that the meal is being enjoyed."
FACT-0108,India,Commonality,"The 'Namaste' greeting, with palms pressed together, is the traditional way to show respect when meeting someone in India."
FACT-0109,Canada,Superlative,The CN Tower in Toronto was once the world's tallest free-standing structure and remains a Canadian icon.
FACT-0110,Australia,Selection,"The Outback refers to the vast, remote, and arid interior of Australia, which covers the majority of the landmass."
FACT-0111,US,Quantitative,The US Constitution is the oldest written national constitution still in use today.
FACT-0112,UK,Feature,"Double-decker buses, especially the red ones in London, are an iconic symbol of British public transport."
FACT-0113,China,Action,"During the Mid-Autumn Festival in China, families gather to eat Mooncakes while watching the full moon."
FACT-0114,Iran,Superlative,"Mount Damavand is the highest peak in Iran and the highest volcano in Asia, appearing in many Persian myths."
FACT-0115,France,Selection,Mont Saint-Michel is a tidal island and abbey in Normandy that is one of France's most popular UNESCO sites.
FACT-0116,Germany,Commonality,"Hiking (Wandern) is a very common hobby in Germany, supported by an extensive network of marked trails."
FACT-0117,Japan,Selection,"Akihabara in Tokyo is world-famous as the center of 'Otaku' culture, specializing in electronics, anime, and manga."
FACT-0118,India,Action,"In India, Holi is a major festival celebrated by throwing colored powders and water to mark the arrival of spring."
FACT-0119,Canada,Feature,The Totem Pole is a traditional monument carved by Indigenous peoples of the Pacific Northwest Coast of Canada.
FACT-0120,Australia,Commonality,"Surfing is a deeply ingrained part of the Australian lifestyle, especially in coastal towns along the Gold Coast."
FACT-0121,US,Selection,"New Orleans is famous for its unique blend of French, African, and American cultures, best seen during Mardi Gras."
FACT-0122,UK,Quantitative,"The UK consists of four countries: England, Scotland, Wales, and Northern Ireland."
FACT-0123,China,Feature,The Terracotta Army is a collection of thousands of life-sized clay soldiers buried with the first Emperor of China.
FACT-0124,Iran,Commonality,"Doogh is a popular savory yogurt-based drink in Iran, often flavored with dried mint."
FACT-0125,France,Superlative,The Palace of Versailles was the principal royal residence of France from 1682 until the French Revolution.
FACT-0126,Germany,Selection,Bavaria is the largest state in Germany by land area and is known for its distinct cultural identity and Alps scenery.
FACT-0127,Japan,Quantitative,"Japan has more than 6,000 islands, though the majority of the population lives on the four largest islands."
FACT-0128,India,Feature,The Bengal Tiger is the national animal of India and a symbol of the country’s wildlife heritage.
FACT-0129,Canada,Action,"In Canada, many people participate in 'May Long' (Victoria Day weekend) as the unofficial start of the summer season."
FACT-0130,Australia,Superlative,Uluru (Ayers Rock) is a massive sandstone monolith in the Northern Territory that is sacred to Indigenous Australians.
FACT-0131,US,Commonality,Garage sales are a common weekend activity in American suburbs where residents sell used household items.
FACT-0132,UK,Action,"In the UK, it is traditional to wear a poppy in November to remember those who died in military conflict."
FACT-0133,China,Superlative,The Forbidden City in Beijing was the former Chinese imperial palace from the Ming dynasty to the end of the Qing dynasty.
FACT-0134,Iran,Feature,The Persepolis is an ancient UNESCO World Heritage site that served as the ceremonial capital of the Achaemenid Empire.
FACT-0135,France,Action,"In France, it is common to buy fresh bread daily from a local 'Boulangerie' (bakery)."
FACT-0136,Germany,Quantitative,Germany has the largest economy in Europe and the fourth-largest in the world by nominal GDP.
FACT-0137,Japan,Commonality,Public baths (Sento) and hot springs (Onsen) are a major part of Japanese social and health culture.
FACT-0138,India,Selection,The state of Kerala is known as 'God's Own Country' for its tropical backwaters and eco-tourism.
FACT-0139,Canada,Feature,"The Royal Canadian Mounted Police (RCMP), or 'Mounties,' are the national police force and a symbol of Canada."
FACT-0140,Australia,Feature,The Emu is a large flightless bird native to Australia and is the second-largest living bird by height.
FACT-0141,US,Selection,"Las Vegas is world-famous as the 'Entertainment Capital of the World,' known for its casinos and nightlife."
FACT-0142,UK,Commonality,"Pub culture is central to social life in the UK, where 'the local' serves as a community gathering spot."
FACT-0143,China,Quantitative,"China has the world's largest high-speed rail network, covering over 40,000 kilometers."
FACT-0144,Iran,Action,"During the festival of Chaharshanbe Suri, Iranians jump over small bonfires to symbolize purification for the New Year."
FACT-0145,France,Feature,The Louvre Pyramid is a large glass and metal pyramid designed by I. M. Pei in the main courtyard of the Louvre.
FACT-0146,Germany,Selection,The Rhine Valley is a major wine-growing region in Germany famous for its steep vineyards and medieval castles.
FACT-0147,Japan,Action,"In Japan, many people wear surgical masks in public to prevent the spread of germs or to manage allergies."
FACT-0148,India,Quantitative,"The Indian railway system is one of the world's largest employers, with over 1.2 million staff."
FACT-0149,Canada,Commonality,Ice hockey is considered the national winter sport of Canada and is deeply woven into the national identity.
FACT-0150,Australia,Action,"In Australia, it is customary to greet others with the phrase 'G'day, mate'."
FACT-0151,US,Superlative,The Grand Canyon in Arizona is one of the world's most famous natural wonders and a symbol of the American West.
FACT-0152,UK,Feature,Wimbledon is the oldest tennis tournament in the world and is famous for its grass courts and player dress code of all-white.
FACT-0153,China,Action,"In China, it is customary to offer and receive gifts or business cards with both hands as a sign of respect."
FACT-0154,Iran,Selection,Kashan is a historic city in Iran renowned for its traditional Persian merchant houses and the production of high-quality rosewater.
FACT-0155,France,Commonality,The 'Petit Déjeuner' in France is typically a light meal consisting of coffee or hot chocolate and a croissant or tartine.
FACT-0156,Germany,Quantitative,"The standard legal working hours in Germany are 8 hours per day, and it is rare for employees to stay late."
FACT-0157,Japan,Feature,"The Torii gate is a traditional Japanese gate most commonly found at the entrance of a Shinto shrine, marking the transition to sacred space."
FACT-0158,India,Action,"In India, it is traditional for women to apply Henna (Mehendi) designs to their hands and feet before weddings and major festivals."
FACT-0159,Canada,Commonality,BeaverTails are a popular Canadian fried dough pastry shaped like a beaver's tail and topped with various sweets.
FACT-0160,Australia,Selection,"The Barossa Valley in South Australia is one of the world's finest wine-producing regions, famous for its Shiraz grapes."
FACT-0161,US,Action,"In the US, 'Tailgating' involves hosting a social gathering or meal out of the back of a parked vehicle before a sporting event."
FACT-0162,UK,Commonality,"The 'Full English Breakfast' traditionally includes bacon, eggs, sausages, black pudding, baked beans, and grilled tomatoes."
FACT-0163,China,Superlative,Shanghai is the largest city in China and serves as a global financial hub and major seaport.
FACT-0164,Iran,Feature,Gaz is a traditional Persian nougat from Isfahan made with the sap of the Angebin plant and pistachios.
FACT-0165,France,Action,"In France, it is customary to wait until everyone is served and the host says 'Bon Appétit' before starting to eat."
FACT-0166,Germany,Feature,The Trabi (Trabant) was the most common vehicle in East Germany and has become a nostalgic symbol of the DDR era.
FACT-0167,Japan,Commonality,"The 'Kotatsu' is a low wooden table frame covered by a heavy blanket with a heater underneath, used to stay warm in winter."
FACT-0168,India,Quantitative,"The legal voting age in India is 18, and the country holds the record for the world's largest democratic elections."
FACT-0169,Canada,Selection,"The town of Churchill, Manitoba, is known as the 'Polar Bear Capital of the World' and is a major site for arctic tourism."
FACT-0170,Australia,Feature,"The Sydney Harbour Bridge, nicknamed 'The Coathanger,' is the world's largest steel arch bridge."
FACT-0171,US,Commonality,Yellow school buses are a standardized and iconic method of transporting students to and from primary and secondary schools.
FACT-0172,UK,Selection,The University of Oxford is the oldest university in the English-speaking world and is composed of 39 semi-autonomous colleges.
FACT-0173,China,Feature,"The Qipao (or Cheongsam) is a high-necked, close-fitting dress that became a symbol of modern Chinese femininity in the 1920s."
FACT-0174,Iran,Action,"In Iran, it is common to burn 'Esfand' (wild rue seeds) to ward off the 'evil eye' and bring good luck."
FACT-0175,France,Superlative,"The Michelin Guide, which awards stars to excellent restaurants, originated in France and remains the most influential culinary rating system."
FACT-0176,Germany,Selection,The Romantic Road (Romantische Straße) is a famous tourist route through Bavaria and Baden-Württemberg featuring medieval towns.
FACT-0177,Japan,Action,"In Japan, people usually stand on one side of the escalator (the left in Tokyo, the right in Osaka) to let others pass."
FACT-0178,India,Commonality,The 'Dabbawala' system in Mumbai is a highly efficient lunchbox delivery service that has been studied by business schools globally.
FACT-0179,Canada,Quantitative,"The Trans-Canada Highway is one of the world's longest national routes, spanning over 7,800 kilometers across all ten provinces."
FACT-0180,Australia,Commonality,The 'Aussie Salute' is a humorous term for the flicking of one's hand near the face to ward off bush flies.
FACT-0181,US,Feature,The Hollywood Sign in Los Angeles is a world-famous landmark and icon of the American film industry.
FACT-0182,UK,Action,"In the UK, it is common for people to apologize to an object if they accidentally bump into it."
FACT-0183,China,Selection,"The Potala Palace in Lhasa, Tibet, was the winter residence of the Dalai Lamas and is a masterpiece of Himalayan architecture."
FACT-0184,Iran,Quantitative,"The literacy rate in Iran has seen a massive increase since 1979, with over 98% of the youth being literate."
FACT-0185,France,Feature,"The TGV (Train à Grande Vitesse) is France's high-speed rail service, reaching speeds of up to 320 km/h."
FACT-0186,Germany,Commonality,"Quiet hours (Ruhezeit) are strictly observed in many German apartment buildings, usually from 10 PM to 6 or 7 AM."
FACT-0187,Japan,Superlative,"Tokyo is the most populous metropolitan area in the world, known for its mix of ultra-modern and traditional culture."
FACT-0188,India,Feature,"The Peafowl (Peacock) is the national bird of India, representing grace, pride, and beauty in Indian mythology."
FACT-0189,Canada,Action,"In Canada, it is traditional for families to visit a 'Sugar Bush' in the spring to watch maple syrup being made."
FACT-0190,Australia,Quantitative,The Australian dollar (AUD) was the world's first currency to be made entirely of polymer (plastic) rather than paper.
FACT-0191,US,Selection,"The French Quarter in New Orleans is the city's oldest neighborhood, famous for its Spanish-influenced architecture and jazz clubs."
FACT-0192,UK,Feature,"The London Underground, often called 'The Tube,' was the world's first underground passenger railway, opening in 1863."
FACT-0193,China,Commonality,Red Envelopes (Hongbao) containing money are traditionally given to children and elders during the Lunar New Year for good luck.
FACT-0194,Iran,Superlative,The Lut Desert (Dasht-e Lut) is a UNESCO site and has recorded some of the highest surface temperatures on Earth.
FACT-0195,France,Action,"In France, it is common to buy a selection of cheeses from a 'Fromagerie' to serve as a separate course after the main meal."
FACT-0196,Germany,Quantitative,"The 'Mittelsand' refers to the backbone of the German economy, consisting of small and medium-sized family-owned businesses."
FACT-0197,Japan,Feature,The Haiku is a traditional form of Japanese poetry consisting of three lines with a 5-7-5 syllable structure.
FACT-0198,India,Selection,Varanasi (Benares) is one of the oldest continuously inhabited cities in the world and the spiritual capital of India.
FACT-0199,Canada,Superlative,"Canada has the longest coastline of any country in the world, bordering the Atlantic, Pacific, and Arctic Oceans."
FACT-0200,Australia,Action,"In Australia, it is customary for people in rural areas to wave at passing drivers, even if they don't know them."
FACT-0201,US,Quantitative,The legal age to purchase tobacco products in the US was raised to 21 at the federal level in 2019.
FACT-0202,UK,Superlative,Stonehenge is a prehistoric monument in England and one of the most famous megalithic structures in the world.
FACT-0203,China,Action,"In China, drinking hot water is common and believed to be beneficial for health and digestion."
FACT-0204,Iran,Feature,"The 'Ab-Anbar' is a traditional Persian cistern used to store water in arid regions, often featuring ventilation towers."
FACT-0205,France,Selection,The Loire Valley is known as the 'Garden of France' and is famous for its abundance of historic chateaux.
FACT-0206,Germany,Action,"In Germany, it is common to clink glasses and say 'Prost' while making direct eye contact with everyone at the table."
FACT-0207,Japan,Selection,Nara was the first permanent capital of Japan and is famous for its large wild deer population that roams the parks.
FACT-0208,India,Feature,"The Kurta is a loose collarless shirt worn by people across South Asia, often paired with pajamas or jeans."
FACT-0209,Canada,Commonality,The 'Loonie' ($1 coin) and 'Toonie' ($2 coin) are the standard high-value coins used in Canadian currency.
FACT-0210,Australia,Superlative,"The Great Ocean Road in Victoria is the world's largest war memorial, built by returned soldiers after WWI."
FACT-0211,US,Action,"In the US, 'Black Friday' is the day following Thanksgiving and is traditionally the busiest shopping day of the year."
FACT-0212,UK,Commonality,The 'Black Cab' (Hackney Carriage) is a world-famous symbol of London; drivers must pass a rigorous test called 'The Knowledge'.
FACT-0213,China,Quantitative,"China uses only one time zone (Beijing Time), despite the country being wide enough to geographically cover five."
FACT-0214,Iran,Selection,"Tabriz is world-famous for its historic bazaar complex, which is one of the oldest and largest covered bazaars in the world."
FACT-0215,France,Feature,"The Camembert cheese from Normandy is one of France's most iconic dairy products, known for its soft, creamy texture."
FACT-0216,Germany,Superlative,The Cologne Cathedral (Kölner Dom) is Germany's most visited landmark and a masterpiece of Gothic architecture.
FACT-0217,Japan,Action,"In Japan, it is common to use 'Furoshiki' (traditional wrapping cloth) to carry goods or wrap gifts."
FACT-0218,India,Commonality,"Rangoli is an art form where patterns are created on the floor using materials like colored rice, flour, or flower petals."
FACT-0219,Canada,Feature,The Inuksuk is a stone landmark or cairn used by the Inuit and other peoples of the North American Arctic as a point of reference.
FACT-0220,Australia,Selection,The Twelve Apostles are a collection of limestone stacks off the shore of Port Campbell National Park in Victoria.
FACT-0221,US,Superlative,"The Smithsonian Institution in Washington D.C. is the world's largest museum, education, and research complex."
FACT-0222,UK,Action,"In the UK, it is traditional for children to go 'trick-or-treating' on Halloween, though the custom has evolved from older British traditions."
FACT-0223,China,Feature,The Panda Diplomacy is a practice where China gifts or leases Giant Pandas to other countries as a symbol of friendship.
FACT-0224,Iran,Commonality,"Saffron is a key ingredient in Persian cuisine, and Iran is responsible for over 90% of the world's saffron production."
FACT-0225,France,Quantitative,France has the highest number of Nobel Prizes in Literature of any country in the world.
FACT-0226,Germany,Feature,The 'Spezi' is a popular German soft drink made by mixing cola and orange soda.
FACT-0227,Japan,Commonality,Pachinko is a popular Japanese mechanical game used as both a form of recreational arcade game and a gambling device.
FACT-0228,India,Action,"In India, many traditional meals are served on a 'Thali,' a large circular platter containing various small bowls of food."
FACT-0229,Canada,Selection,The Yukon territory is famous for the Klondike Gold Rush and as one of the best places in Canada to see the Northern Lights.
FACT-0230,Australia,Feature,The Platypus is a unique egg-laying mammal native to eastern Australia and is one of the few venomous mammals.
FACT-0231,US,Commonality,The 'Pledge of Allegiance' is commonly recited by students in many American schools at the start of the school day.
FACT-0232,UK,Selection,The Lake District in NW England is a National Park famous for its glacial ribbon lakes and rugged fell mountains.
FACT-0233,China,Superlative,The Three Gorges Dam on the Yangtze River is the world's largest power station by installed capacity.
FACT-0234,Iran,Action,"In Iran, the 'Sofreh' is a traditional cloth spread on the floor or table upon which food is served and eaten."
FACT-0235,France,Feature,"The Beret is a soft, round, flat-crowned hat that is widely considered a stereotypical part of French national identity."
FACT-0236,Germany,Selection,The Ruhr Area is Germany's largest urban area and was historically the center of the country's coal and steel industries.
FACT-0237,Japan,Quantitative,"Japan has the highest number of Michelin-starred restaurants in the world, with Tokyo leading among cities."
FACT-0238,India,Superlative,"The Kumbh Mela is the largest religious gathering in the world, held at four different river pilgrimage sites in India."
FACT-0239,Canada,Action,"In Canada, it is a tradition to wear a 'Poppy' on Remembrance Day (Nov 11) to honor military veterans."
FACT-0240,Australia,Commonality,"The 'Ute' (Utility vehicle) is a culturally significant type of vehicle in Australia, often used by farmers and tradespeople."
FACT-0241,US,Selection,The Everglades in Florida is the largest subtropical wilderness in the US and a unique ecosystem of wetlands.
FACT-0242,UK,Quantitative,The UK parliament is one of the oldest in the world and consists of the House of Commons and the House of Lords.
FACT-0243,China,Commonality,Square Dancing (Guangchangwu) is a popular form of low-impact exercise for middle-aged and retired people in China.
FACT-0244,Iran,Feature,The 'Qanat' is an ancient Persian system of underground channels used to transport water from mountains to arid plains.
FACT-0245,France,Superlative,"The Tour de France is the world's most prestigious and difficult bicycle race, held annually in July."
FACT-0246,Germany,Action,"In Germany, it is considered bad luck to wish someone a 'Happy Birthday' before the actual day."
FACT-0247,Japan,Feature,"The Bento is a single-portion take-out or home-packed meal common in Japanese cuisine, often arranged artfully."
FACT-0248,India,Selection,Dharamsala in Himachal Pradesh is the residence of the 14th Dalai Lama and the center of the Tibetan government-in-exile.
FACT-0249,Canada,Commonality,"The 'Nanaimo Bar' is a classic Canadian no-bake dessert square that originated in Nanaimo, British Columbia."
FACT-0250,Australia,Quantitative,"Around 85% of Australians live within 50 kilometers of the coast, making it a highly urbanized coastal nation."
FACT-0251,US,Action,"In the US, it is customary to stand and place one's hand over the heart during the playing of the National Anthem."
FACT-0252,UK,Commonality,"The 'Full English Breakfast' traditionally includes bacon, eggs, sausages, black pudding, baked beans, and grilled tomatoes."
FACT-0253,China,Selection,The West Lake in Hangzhou is a UNESCO World Heritage site famous for its scenic beauty and influence on Chinese garden design.
FACT-0254,Iran,Superlative,The Azadi Tower (Freedom Tower) in Tehran is the iconic gateway to the city and a symbol of modern Iranian history.
FACT-0255,France,Feature,"The 'Coq au Vin' is a classic French dish of chicken braised with wine, lardons, mushrooms, and optionally garlic."
FACT-0256,Germany,Quantitative,"The German 'Abitur' is the final exam taken at the end of secondary school, required for university entrance."
FACT-0257,Japan,Action,"In Japan, it is customary to exchange business cards (Meishi) with a slight bow, using both hands to present the card."
FACT-0258,India,Commonality,"The 'Kurta' is a versatile, collarless shirt worn by both men and women across the Indian subcontinent."
FACT-0259,Canada,Feature,"The 'Toonie' is the colloquial name for the Canadian two-dollar coin, which features a polar bear."
FACT-0260,Australia,Selection,"The Whitsunday Islands are a collection of 74 islands off the coast of Queensland, famous for white silica sands."
